loan_amount,income,interest_rate,loan_term,dti_numeric,loan_type_2,loan_type_3,loan_type_4,loan_purpose_2,loan_purpose_31,loan_purpose_32,loan_purpose_4,loan_purpose_5,occupancy_type_2,occupancy_type_3,race,sex,age_group
-0.04477191991468742,-0.46584573168435883,-0.022268962428736338,0.4010883165798516,1.2128764673653272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Male,senior
-0.04477191991468742,-0.17614108887859245,0.6597106345814948,0.4010883165798516,0.4874085528230181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,mid
0.3300999140318529,-0.27960703273779475,0.5622849778657475,0.4010883165798516,0.0843708225217352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Female,young
2.2580122028997742,3.6107124563682107,0.2700080077185056,0.4010883165798516,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,White,Female,mid
0.2765467948966328,0.19633630901453575,-1.0939511863019566,-1.2953433399641778,-0.3186669077795477,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Male,mid
-1.0087280643486483,-0.16234562969736546,-0.5093972460074728,-2.6524886651994017,-2.0114253750449356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,White,Male,senior
1.8831403689532342,0.23772268655821666,-1.191376843017704,0.4010883165798516,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian,Male,young
0.3300999140318529,-0.1899365480598194,-1.191376843017704,0.4010883165798516,0.003763276461478622,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,White,Male,young
-0.47319687299644775,0.6515864619950258,-0.7120426119762271,0.4010883165798516,0.5680160988832746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,White,Male,mid
-0.36609063472600767,-0.5279252979998802,-1.4914478657022054,0.4010883165798516,1.2128764673653272,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Female,senior
1.8831403689532342,0.20323403860514924,-0.022268962428736338,0.4010883165798516,0.16497836858199177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian,Male,mid
-0.4196437538612277,-0.21752746642227336,-1.1718917116745546,-1.2953433399641778,-0.2380593617192911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,White,Male,mid
-0.4196437538612277,-0.3003002215096352,-0.022268962428736338,-0.7864138430009691,0.003763276461478622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Female,senior
-0.4196437538612277,-0.06577741542877669,-0.21712027586023094,-1.2953433399641778,0.0843708225217352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Male,mid
0.16944055662619276,0.23772268655821666,-1.9707820967436824,-2.1435591682361927,-2.0114253750449356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,White,Male,senior
-0.794515587807768,-0.6175957826778555,-0.022268962428736338,-0.7864138430009691,2.018951927967893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Female,young
0.2765467948966328,-0.07957287461000365,-0.41197158929172556,0.4010883165798516,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,senior
-0.04477191991468742,5.645542685599189,-0.7042485594389675,-2.1435591682361927,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,White,Male,senior
0.7049717479783931,-0.024391037885095772,0.46485932115000017,0.4010883165798516,0.16497836858199177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Male,mid
-1.1693874217543083,-0.08647060420061714,-0.022268962428736338,0.4010883165798516,-2.0114253750449356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Black,Female,senior
-1.1693874217543083,-0.4313570837312914,-0.022268962428736338,-3.5007044934714164,2.018951927967893,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
2.2044590837645544,1.2723821251502394,-0.9965255295862094,0.4010883165798516,-2.0114253750449356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Male,senior
-1.1158343026190882,-0.038186497066322746,3.1538074465046253,-1.2953433399641778,0.003763276461478622,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,mid
