loan_amnt,annual_inc,dti,int_rate,installment,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,term_60_months,grade_b,grade_c,grade_d,grade_e,grade_f,grade_g,home_ownership_mortgage,home_ownership_own,home_ownership_rent,verification_status_source_verified,verification_status_verified,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,gender_male,income_level_low,income_level_medium,loan_amount_level_medium,loan_amount_level_small,loan_default,data_split
0.8037006894536338,0.5839041794061115,-0.5450833494159332,-0.5859561768222848,0.1221645690748071,-0.3541894869846647,1.6291746045884776,-0.263474182177722,-0.3358111558318982,0.2378345608841433,-1.1382141805285306,0.0749495418941526,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,train
0.0228813755058291,0.3161492277407662,0.1411842154639427,-0.8381086745762465,0.1500237219948283,0.9164454439020248,-0.6513847719133283,0.0862703074387233,-0.3358111558318982,0.1576816482531004,-0.3220006095647579,-0.3368611278539388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,train
0.6921550731753761,0.5839041794061115,-0.5033814894628629,1.3989882854969002,1.321533855089438,-0.3541894869846647,0.4888949163375746,-0.263474182177722,-0.3358111558318982,-0.5018857496547976,0.0921373106779443,0.4867602116422442,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,train
-0.3675282814680732,-0.9958500354194256,-0.3873415313325798,0.8240805906178682,-0.1023270283139108,-0.3541894869846647,-0.6513847719133283,-1.1378354062188356,-0.3358111558318982,-0.1382841686079987,1.3948624190142125,-1.3252067352493586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,train
-0.0579891962959077,-0.5138911224218042,-0.26586220016494,1.0096648289647836,0.3049637688709071,-0.3541894869846647,0.4888949163375746,-0.0886019373694993,1.4162470485084402,-0.4717151056434358,-0.6235573476055606,-0.5839475297027937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,train
-0.9810291709984912,-0.6209931030879423,0.0478083116559809,-1.0418478927614476,-0.9619533664781592,0.9164454439020248,-0.6513847719133283,-0.4383464269859448,-0.3358111558318982,-0.377059565848133,-0.9331555986607848,-0.9957581994508852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,train
2.588430549905759,2.4581888410635284,-0.3828087204681158,-1.5622906481256242,1.098776229874165,-0.3541894869846647,1.6291746045884776,0.0862703074387233,-0.3358111558318982,0.9618005294142902,-0.0847759756393265,-0.5015853957531755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,train
-1.0925747872767488,-0.2943320620562211,-0.3583315418000091,-0.8199536947379613,-1.0726963892888657,-0.3541894869846647,0.4888949163375746,-0.6132186717941674,1.4162470485084402,-0.5390487317632133,-0.0847759756393265,-0.6663096636524121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,train
-0.5348467058854599,0.1822717519080935,-1.2467624712349874,-0.5314912373074293,-0.4343249004562375,-0.3541894869846647,-0.6513847719133283,0.0862703074387233,-0.3358111558318982,-0.3467594340942331,-0.6476818866488249,-0.2544989939043205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,train
-0.8471744314645817,-0.2193606755899244,0.2436257410008333,-0.7836437350613908,-0.8008480852076082,-0.3541894869846647,-0.6513847719133283,0.0862703074387233,-0.3358111558318982,-0.169836015206433,-0.4908723828676075,-0.0074125920554656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,train
-0.5348467058854599,-0.6209931030879423,-0.9747938193671368,0.515445933367019,-0.7561886685626503,-0.3541894869846647,-0.6513847719133283,-0.6132186717941674,6.672421661529454,-0.016781503526477,1.4109454450430547,-0.2544989939043205,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,train
-0.7579379384419755,-0.4871156272552697,1.0867285617911695,0.515445933367019,-0.607452388796009,-0.3541894869846647,1.6291746045884776,-0.6132186717941674,-0.3358111558318982,-0.2130849212141363,0.5143167439350681,-0.2544989939043205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,train
-0.9810291709984912,-1.0494010257524948,0.0133589490860529,-0.5173706974332074,-0.9339400826982762,-0.3541894869846647,2.7694542928393804,-0.6132186717941674,1.4162470485084402,-0.503223789661024,-0.8326366859805171,-0.1721368599547022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,train
