activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,549300FNXYY540N23N64,12060,GA,13121.0,13121010526.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Sex Not Available,1,1,2,1,32,1,2,2,2,165000.0,47.246,5.875,0.9197,2,4476.25,,2896.06,1656.06,,360,,,2,2,2,2,345000,1,1,3,5,1,,52.0,30%-<36%,3,10,2.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,55-64,9999,No,,1,1,1,,,,,10,,,,6894,96.85,95700,78.56,1167,1891,18
2022,5493003GQDUH26DNNH17,46660,GA,13185.0,13185011401.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,3,1,1,2,2,2,515000.0,100.0,3.5,-0.327,2,3399.98,,0.0,,,360,,,2,2,2,2,515000,1,1,3,5,1,,143.0,39,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,2625,51.39,63700,132.49,612,853,30
2022,0K2D5AK28E3O5CC06E35,42340,GA,13051.0,13051011900.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,1,2,2,2,1205000.0,80.0,2.625,-0.978,2,2700.5,,0.0,,,360,,,2,2,2,2,1505000,1,1,3,5,1,,261.0,37,2,1,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,1,1,6,,,,,10,,,,2059,30.21,83400,179.36,392,935,0
2022,5493000BR75YQF0VQC27,99999,GA,13311.0,13311950202.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,3,32,1,2,2,2,305000.0,89.552,3.5,0.412,2,3611.2,,2045.0,750.0,,360,,,2,2,2,2,335000,1,1,3,5,1,,109.0,41,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,1,1,,,,,10,,,,3380,10.36,64100,99.8,982,1922,26
2022,549300BRJZYHYKT4BJ84,12060,GA,13067.0,13067030340.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,585000.0,80.0,4.99,0.064,2,9520.76,,6210.6,5115.6,,360,,,2,2,2,2,725000,1,1,3,5,1,,96.0,44,3,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,1,,,,,10,,,,3979,21.92,95700,206.95,1310,1404,33
2022,JJKC32MCHWDI71265Z06,12060,GA,13063.0,13063040510.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,2,45000.0,,,,3,,,,,,360,,1,2,1,1,2,,1,1,3,5,1,,,,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,6,,,,,7,,,,3293,94.32,95700,82.03,766,1195,42
2022,549300UI36AJZ0WZ4U93,12060,GA,13089.0,13089021308.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,3,0,2,1,1,1,2,2,2,515000.0,80.0,,,3,,,,,,360,,,2,2,2,2,645000,1,1,3,5,1,,0.0,>60%,3,9,2.0,,,,,2.0,,,,,2,2,2.0,25.0,,,,2.0,25.0,,,,2,2,1,2,2,2,55-64,45-54,No,No,1,1,1,,,,,9,,,,4380,78.56,95700,61.17,621,1105,53
2022,549300038578ZJ284Y20,12060,GA,13135.0,13135050230.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,5,2,1,4,1,2,2,1,225000.0,80.0,3.875,,3,,,,,,360,,,2,2,2,2,275000,1,3,3,5,1,,,,9,10,4.0,,,,,5.0,,,,,3,4,7.0,,,,,8.0,,,,,3,4,4,5,3,4,8888,9999,,,1,1,6,,,,,10,,,,3554,86.83,95700,54.69,377,677,27
2022,2549006MTEQ1VE0AAQ20,12260,GA,13245.0,13245010514.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,6,2,1,1,1,1111,1111,1111,105000.0,Exempt,Exempt,Exempt,2,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,1,1111,1111,1,Exempt,31.0,Exempt,1111,1111,1.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1111,1111,1111,,,,,1111,,,,3733,92.61,73800,52.18,386,1199,45
2022,549300FGXN1K3HLB1R50,12060,GA,13057.0,13057091001.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,32,2,2,2,2,55000.0,96.0,,,3,,,,,,240,,,2,2,2,2,475000,1,1,3,5,1,,115.0,43,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,3,6,,,,,4,,,,5810,35.63,95700,83.34,1006,1294,16
